,imdb_score,director_name,movie_title
4549,7.2,Allan Dwan,Sands of Iwo Jima 
4072,7.2,Michel Gondry,Dave Chappelle's Block Party 
4001,7.2,George A. Romero,Day of the Dead 
1851,7.2,Lawrence Kasdan,Silverado 
4420,7.2,Henry Bean,The Believer 
3412,7.2,Edward Hall,Restless 
4550,7.2,Martin Scorsese,Shine a Light 
4662,7.2,Victor Nunez,Ruby in Paradise 
2717,7.2,Woody Allen,Whatever Works 
4393,7.2,Nadine Labaki,Caramel 
2422,7.2,Mike Nichols,Catch-22 
4943,7.2,Sai Varadan,An American in Hollywood 
3627,7.2,Billy Ray,Shattered Glass 
1184,7.2,John G. Avildsen,The Karate Kid 
1513,7.2,Martin Scorsese,The Age of Innocence 
4241,7.2,Robert Fontaine,Mi America 
117,7.2,Francis Lawrence,I Am Legend 
3772,7.2,Xavier Beauvois,Of Gods and Men 
2129,7.2,Mark Pellington,Arlington Road 
3618,7.2,Sofia Coppola,The Virgin Suicides 
126,7.2,Lana Wachowski,The Matrix Reloaded 
1195,7.2,Penny Marshall,A League of Their Own 
1066,7.2,Christopher Nolan,Insomnia 
1510,7.2,Tony Kaye,Black Water Transit 
4916,7.2,Nadia Tass,An American Girl Holiday 
1220,7.2,Angelina Jolie Pitt,Unbroken 
2435,7.2,Danny Boyle,Steve Jobs 
147,7.2,Wolfgang Petersen,Troy 
3130,7.2,David Cronenberg,The Dead Zone 
663,7.2,Angelina Jolie Pitt,Unbroken 
2463,7.2,D.J. Caruso,The Salton Sea 
4899,7.2,Maurizio Benazzo,Short Cut to Nirvana: Kumbh Mela 
1209,7.2,Nancy Meyers,The Intern 
2464,7.2,Nimród Antal,Metallica Through the Never 
279,7.2,Christopher Barnard,"10,000 B.C.             "
154,7.2,Alessandro Carloni,Kung Fu Panda 3 
3802,7.2,Jaume Balagueró,Sleep Tight 
2469,7.2,George A. Romero,Day of the Dead 
3598,7.2,John Carpenter,Escape from New York 
3212,7.2,Richard Kwietniowski,Owning Mahowny 
1176,7.2,Jean-Pierre Jeunet,Micmacs 
717,7.2,Martin Campbell,GoldenEye 
4270,7.2,Debra Granik,Winter's Bone 
3202,7.2,Chris Weitz,A Better Life 
15,7.2,Zack Snyder,Man of Steel 
2282,7.2,Matt Reeves,Let Me In 
3682,7.2,Aki Kaurismäki,Le Havre 
3205,7.2,Douglas McGrath,Nicholas Nickleby 
25,7.2,Peter Jackson,King Kong 
3711,7.2,Richard Fleischer,"20,000 Leagues Under the Sea "
2294,7.2,Kirk Jones,Everybody's Fine 
3724,7.2,Robert Duvall,The Apostle 
32,7.2,Shane Black,Iron Man 3 
2312,7.2,Michael Apted,Chasing Mavericks 
2207,7.2,Trey Parker,Team America: World Police 
4264,7.2,Chris Eyre,Smoke Signals 
3669,7.2,Hugh Hudson,Chariots of Fire 
45,7.2,James Wan,Furious 7 
1154,7.2,Phil Lord,21 Jump Street 
2342,7.2,,The Doombolt Chase             
2351,7.2,Jonathan Jakubowicz,Hands of Stone 
1099,7.2,Melville Shavelson,"Yours, Mine and Ours "
56,7.2,Mark Andrews,Brave 
2360,7.2,Wes Craven,Scream 
1095,7.2,John Lasseter,A Bug's Life 
3746,7.2,Barry Levinson,Diner 
1090,7.2,Thomas Carter,Coach Carter 
3648,7.2,Vic Sarin,A Shine of Rainbows 
3644,7.2,Greg Marcks,11:14 
1548,7.2,George Tillman Jr.,Men of Honor 
1575,7.2,Sydney Pollack,Out of Africa 
3791,7.2,Dennis Hopper,Out of the Blue 
3558,7.2,Alan Alda,The Four Seasons 
1594,7.2,Lee Daniels,Lee Daniels' The Butler 
1258,7.2,Oliver Stone,The Doors 
3563,7.2,Robert Wise,The Andromeda Strain 
2026,7.2,Todd Phillips,Old School 
3128,7.2,Francis Ford Coppola,The Outsiders 
1263,7.2,Mimi Leder,Pay It Forward 
2560,7.2,Woody Allen,Vicky Cristina Barcelona 
2564,7.2,Peter Kosminsky,White Oleander 
636,7.2,Alejandro Amenábar,Agora 
2569,7.2,Allen Coulter,Remember Me 
3544,7.2,Kim Nguyen,Two Lovers and a Bear 
2019,7.2,Sylvester Stallone,Rocky Balboa 
4815,7.2,Mor Loushy,Censored Voices 
2579,7.2,Russell Mulcahy,Highlander 
2580,7.2,Susanne Bier,Things We Lost in the Fire 
2002,7.2,Robert Towne,Without Limits 
3520,7.2,Rodrigo García,Mother and Child 
4799,7.2,Jonathan Caouette,Tarnation 
4355,7.2,Jamal Hill,Brotherly Love 
4357,7.2,Sam Taylor-Johnson,Nowhere Boy 
1613,7.2,Alexander Payne,About Schmidt 
269,7.2,Len Wiseman,Live Free or Die Hard 
4765,7.2,Ol Parker,Now Is Good 
4370,7.2,Richard Brooks,Deadline - U.S.A. 
275,7.2,Ridley Scott,Kingdom of Heaven 
1619,7.2,Nicholas Stoller,Forgetting Sarah Marshall 
4764,7.2,William Gazecki,The Outrageous Sophie Tucker 
604,7.2,Steven Spielberg,War Horse 
3877,7.2,R. Balki,Paa 
1999,7.2,Roman Polanski,Carnage 
1585,7.2,Rob Marshall,Chicago 
3844,7.2,Amy Heckerling,Fast Times at Ridgemont High 
3581,7.2,Randal Kleiser,Grease 
3580,7.2,Kevin Smith,Mallrats 
2069,7.2,Neil Jordan,The End of the Affair 
181,7.2,Gore Verbinski,Rango 
1589,7.2,Jan de Bont,Speed 
2071,7.2,Paul Haggis,In the Valley of Elah 
2044,7.2,Richard Williams,The Princess and the Cobbler 
2049,7.2,Peter Jackson,King Kong 
3851,7.2,Carlos Saura,Tango 
4855,7.2,Justin Lin,Better Luck Tomorrow 
1248,7.2,Steven Spielberg,Amistad 
4894,7.2,Richard Fleischer,"20,000 Leagues Under the Sea "
3572,7.2,Oren Moverman,The Messenger 
2507,7.2,Jason Moore,Pitch Perfect 
3837,7.2,Michel Leclerc,The Names of Love 
4847,7.2,Jerome Elston Scott,Anderson's Cross 
578,7.1,Jean-Jacques Annaud,Two Brothers 
3030,7.1,Jeff Tremaine,Jackass Number Two 
591,7.1,Renny Harlin,Die Hard 2 
2993,7.1,Peter Care,The Dangerous Lives of Altar Boys 
574,7.1,Sam Mendes,Jarhead 
598,7.1,Randall Wallace,We Were Soldiers 
4262,7.1,Jack Conway,Boom Town 
4302,7.1,Shane Meadows,24 7: Twenty Four Seven 
693,7.1,Baltasar Kormákur,Everest 
2990,7.1,Antonia Bird,Ravenous 
570,7.1,Peter Berg,The Kingdom 
4459,7.1,Robert M. Young,The Ballad of Gregorio Cortez 
2986,7.1,James Gray,Two Lovers 
1636,7.1,Richard LaGravenese,P.S. I Love You 
641,7.1,Ridley Scott,Body of Lies 
3148,7.1,Walter Hill,The Long Riders 
3158,7.1,Joel Edgerton,The Gift 
1555,7.1,Jean-Pierre Jeunet,The Young and Prodigious T.S. Spivet 
1553,7.1,Frank Marshall,Alive 
4324,7.1,Woody Allen,Bananas 
3055,7.1,Bill Condon,Kinsey 
4343,7.1,Tim Hunter,River's Edge 
3146,7.1,Ron Underwood,Tremors 
1668,7.1,Steven Soderbergh,Side Effects 
1667,7.1,Shane Acker,9 
4442,7.1,Nae Caranfil,Closer to the Moon 
4402,7.1,Adrienne Shelly,Waitress 
684,7.1,McG,We Are Marshall 
3036,7.1,Joel Schumacher,Phone Booth 
1125,7.1,Oliver Stone,Nixon 
540,7.1,Mike Nichols,Charlie Wilson's War 
1,7.1,Gore Verbinski,Pirates of the Caribbean: At World's End 
2458,7.1,Jonathan Teplitzky,The Railway Man 
2082,7.1,Bobby Farrelly,There's Something About Mary 
2080,7.1,Russell Crowe,The Water Diviner 
2079,7.1,Mel Brooks,Spaceballs 
4888,7.1,Nicolas Winding Refn,Bronson 
4887,7.1,Zoran Lisinac,Along the Roadside 
2056,7.1,David Twohy,Pitch Black 
2055,7.1,George Clooney,The Ides of March 
2536,7.1,Julian Jarrold,Becoming Jane 
2445,7.1,István Szabó,Being Julia 
4833,7.1,Kelly Reichardt,Wendy and Lucy 
4830,7.1,Peter Hedges,Pieces of April 
225,7.1,Paul Greengrass,Jason Bourne 
2586,7.1,Dany Boon,Welcome to the Sticks 
2007,7.1,Guillaume Canet,Little White Lies 
4796,7.1,Richard Glatzer,Quinceañera 
4792,7.1,Jeremy Saulnier,Blue Ruin 
253,7.1,Roland Emmerich,The Patriot 
4905,7.1,Steven Soderbergh,Side Effects 
2421,7.1,Sean McNamara,Soul Surfer 
265,7.1,Shawn Levy,Real Steel 
2369,7.1,Lee Tamahori,The Devil's Double 
4,7.1,Doug Walker,Star Wars: Episode VII - The Force Awakens             
2238,7.1,Henry Joost,Nerve 
2277,7.1,Phillip Noyce,The Quiet American 
2285,7.1,Stephen Frears,Mrs Henderson Presents 
2311,7.1,Richard Linklater,A Scanner Darkly 
5015,7.1,Richard Linklater,Slacker 
2330,7.1,Roger Spottiswoode,The Children of Huang Shi 
2172,7.1,Andrew Davis,Holes 
2167,7.1,Richard Linklater,School of Rock 
127,7.1,Alan Taylor,Thor: The Dark World 
2160,7.1,Jeff Tremaine,Jackass 3D 
4967,7.1,John Reinhardt,Open Secret 
2147,7.1,Tomas Alfredson,Tinker Tailor Soldier Spy 
2402,7.1,Terry Zwigoff,Bad Santa 
2144,7.1,Sam Mendes,Away We Go 
4940,7.1,Sara Newens,Top Spin 
112,7.1,Michael Bay,Transformers 
4935,7.1,Eric Bugbee,Heroes of Dirt 
4783,7.1,Hans Canosa,Conversations with Other Women 
274,7.1,Alex Proyas,"I, Robot "
4480,7.1,Henry Hathaway,Niagara 
2925,7.1,John Badham,WarGames 
419,7.1,Sarah Smith,Arthur Christmas 
420,7.1,Martin Brest,Meet Joe Black 
428,7.1,Pete Travis,Dredd 
438,7.1,Brian De Palma,Mission: Impossible 
1810,7.1,Chris Weitz,About a Boy 
2882,7.1,Jim Sheridan,Brothers 
2883,7.1,Sidney Lumet,Find Me Guilty 
2886,7.1,Douglas McGrath,Infamous 
1752,7.1,Stephen Frears,Florence Foster Jenkins 
4632,7.1,Ralph Nelson,Charly 
1746,7.1,John Maybury,The Jacket 
2932,7.1,Josh Trank,Chronicle 
1740,7.1,George Clooney,Confessions of a Dangerous Mind 
4517,7.1,,Wolf Creek             
4508,7.1,Michael Curtiz,The Charge of the Light Brigade 
1728,7.1,Bille August,The Color of Freedom 
4486,7.1,Jay Chandrasekhar,Super Troopers 
1716,7.1,Michael Radford,The Merchant of Venice 
1834,7.1,Judd Apatow,The 40-Year-Old Virgin 
4637,7.1,Sanjay Rawal,Food Chains 
1979,7.1,Neil Jordan,Michael Collins 
4689,7.1,David LaChapelle,Rize 
277,7.1,Ron Clements,The Princess and the Frog 
1974,7.1,Catherine Hardwicke,Lords of Dogtown 
2630,7.1,Barry Levinson,Wag the Dog 
4746,7.1,Molly Bernstein,Deceptive Practice: The Mysteries and Mentors of Ricky Jay 
2646,7.1,Jean-Marc Vallée,Wild 
4731,7.1,Brian Baugh,To Save a Life 
315,7.1,Ron Clements,Treasure Planet 
3192,7.1,Steven Soderbergh,The Limey 
2753,7.1,Tung-Shing Yee,Shinjuku Incident 
403,7.1,Kevin Lima,Enchanted 
370,7.1,Bryan Singer,Valkyrie 
373,7.1,Steven Spielberg,A.I. Artificial Intelligence 
2774,7.1,Lewis Gilbert,The Spy Who Loved Me 
4652,7.1,Tommy Oliver,1982 
1866,7.1,Mel Gibson,The Passion of the Christ 
4642,7.1,David Slade,Hard Candy 
402,7.1,Genndy Tartakovsky,Hotel Transylvania 
1852,7.1,Jim Sheridan,Brothers 
3187,7.1,Dan Fogelman,Danny Collins 
3005,7.1,Lajos Koltai,Fateless 
4188,7.1,Gus Van Sant,My Own Private Idaho 
3290,7.1,Danny Leiner,Harold & Kumar Go to White Castle 
1088,7.1,James Bobin,The Muppets 
1089,7.1,Stephen Norrington,Blade 
3655,7.1,Martin Koolhoven,Winter in Wartime 
4030,7.1,Justin Kerrigan,Human Traffic 
3659,7.1,Prachya Pinkaew,The Protector 
3922,7.1,Steven Shainberg,Secretary 
4195,7.1,Jake Schreier,Robot & Frank 
949,7.1,Cameron Crowe,We Bought a Zoo 
3497,7.1,Aaron Schneider,Get Low 
947,7.1,Brian Helgeland,Payback 
1505,7.1,Jean-Paul Rappeneau,The Horseman on the Roof 
773,7.1,Kevin Macdonald,State of Play 
3843,7.1,Mike Newell,Four Weddings and a Funeral 
1468,7.1,Peter Landesman,Concussion 
902,7.1,Don Bluth,Anastasia 
4097,7.1,Jill Sprecher,Thirteen Conversations About One Thing 
3850,7.1,Walter Lang,State Fair 
4197,7.1,James Ponsoldt,The Spectacular Now 
4161,7.1,Victor Nunez,Ulee's Gold 
3559,7.1,Brian De Palma,Dressed to Kill 
3892,7.1,Marc Forster,Monster's Ball 
4025,7.1,J.C. Chandor,Margin Call 
3347,7.1,John Sayles,Limbo 
3882,7.1,Richard Kwietniowski,Love and Death on Long Island 
1364,7.1,Paul Thomas Anderson,The Master 
733,7.1,Robert Schwentke,RED 
3526,7.1,Spencer Susser,Hesher 
4204,7.1,Reed Cowan,8: The Mormon Proposition 
3274,7.1,Lars von Trier,Melancholia 
3901,7.1,Lisa Cholodenko,The Kids Are All Right 
1246,7.1,Francis Ford Coppola,The Rainmaker 
3613,7.1,Brian Klugman,The Words 
4198,7.1,Randall Miller,Marilyn Hotchkiss' Ballroom Dancing and Charm School 
3937,7.1,Leos Carax,Holy Motors 
1330,7.1,Robert Schwentke,The Time Traveler's Wife 
1518,7.1,George Tillman Jr.,The Longest Ride 
3388,7.1,Nicole Holofcener,Enough Said 
3704,7.1,Joel Edgerton,The Gift 
928,7.1,George Nolfi,The Adjustment Bureau 
1522,7.1,Justin Chadwick,Mandela: Long Walk to Freedom 
1215,7.1,John Hamburg,"I Love You, Man "
1122,7.1,Pete Travis,Dredd 
3787,7.1,Wes Anderson,Bottle Rocket 
3320,7.1,Julian Jarrold,Red Riding: In the Year of Our Lord 1974 
3708,7.1,Blake Edwards,The Return of the Pink Panther 
906,7.1,Clint Eastwood,Flags of Our Fathers 
3400,7.1,François Ozon,8 Women 
936,7.1,J.J. Abrams,Super 8 
711,7.1,David Frankel,Marley & Me 
3675,7.1,Richard Eyre,Iris 
1045,7.1,David O. Russell,Three Kings 
939,7.1,Phil Lord,22 Jump Street 
1323,7.1,Peter Ho-Sun Chan,The Warlords 
3389,7.1,Will Gluck,Easy A 
3834,7.1,Shekar,Barfi 
3326,7.1,Jeremy Sims,Beneath Hill 60 
3978,7.1,Vincente Minnelli,The Pirate 
3727,7.1,Stephen Hopkins,Race 
3194,7.1,Terence Davies,The House of Mirth 
3784,7.1,Jeremy Saulnier,Green Room 
3376,7.1,,The Player             
2963,7.0,Mark Neveldine,Crank 
4609,7.0,Wajahat Rauf,Karachi se Lahore 
4891,7.0,Jon Shear,Urbania 
1379,7.0,Nick Cassavetes,John Q 
3343,7.0,Jane Campion,Bright Star 
1381,7.0,Rawson Marshall Thurber,We're the Millers 
1254,7.0,Greg Mottola,Paul 
4446,7.0,Christopher McQuarrie,Jack Reacher 
3974,7.0,George Sidney,Annie Get Your Gun 
1333,7.0,Tim Burton,Frankenweenie 
4876,7.0,Jamin Winans,Ink 
1707,7.0,Lasse Hallström,An Unfinished Life 
2988,7.0,Joon-ho Bong,The Host 
4862,7.0,Bill Plympton,I Married a Strange Person! 
363,7.0,Ben Stiller,Tropic Thunder 
2955,7.0,Franklin J. Schaffner,The Boys from Brazil 
2991,7.0,Jon Poll,Charlie Bartlett 
1697,7.0,Paul McGuigan,Wicker Park 
358,7.0,Carlos Saldanha,Ice Age: Dawn of the Dinosaurs 
2987,7.0,Fred Schepisi,Last Orders 
2969,7.0,Peter Webber,Girl with a Pearl Earring 
4166,7.0,Alex van Warmerdam,The Dress 
2977,7.0,Darnell Martin,Cadillac Records 
3459,7.0,Nicolas Winding Refn,The Neon Demon 
2733,7.0,Atom Egoyan,Felicia's Journey 
357,7.0,Phil Lord,Cloudy with a Chance of Meatballs 
1023,7.0,,Defiance             
4167,7.0,Victor Fleming,A Guy Named Joe 
1444,7.0,,Hit the Floor             
1719,7.0,Chris Noonan,Miss Potter 
3935,7.0,Mars Callahan,Poolhall Junkies 
4552,7.0,Andrew Steggall,Departure 
826,7.0,,Sex and the City             
2918,7.0,Paul Weitz,American Pie 
473,7.0,Kelly Asbury,Spirit: Stallion of the Cimarron 
1973,7.0,Robert Redford,The Conspirator 
2915,7.0,William Dear,The Perfect Game 
441,7.0,Tim Burton,Batman Returns 
2689,7.0,Lone Scherfig,One Day 
1966,7.0,Brian Helgeland,Legend 
289,7.0,Michael Mann,Public Enemies 
3944,7.0,David Schwimmer,Trust 
2656,7.0,Juan Carlos Fresnadillo,28 Weeks Later 
3385,7.0,Erik Canuel,Bon Cop Bad Cop 
931,7.0,Seth MacFarlane,Ted 
3473,7.0,Jay Russell,My Dog Skip 
4567,7.0,Greg Berlanti,The Broken Hearts Club: A Romantic Comedy 
312,7.0,Zack Snyder,Legend of the Guardians: The Owls of Ga'Hoole 
838,7.0,Jay Roach,Meet the Parents 
4724,7.0,Pan Nalin,Faith Connections 
1790,7.0,Martin Scorsese,Kundun 
4576,7.0,Finn Taylor,Dream with the Fishes 
4715,7.0,William Gazecki,Crop Circles: Quest for Truth 
3382,7.0,Stephen Gaghan,Syriana 
477,7.0,Henry Jaglom,Déjà Vu 
3496,7.0,Ethan Coen,A Serious Man 
3547,7.0,Arie Posin,The Chumscrubber 
485,7.0,Vincent Ward,What Dreams May Come 
2951,7.0,David Koepp,Stir of Echoes 
1273,7.0,Chris Columbus,Rent 
227,7.0,Ridley Scott,Prometheus 
4141,7.0,Kenneth Branagh,Cinderella 
4488,7.0,Claudia Sainte-Luce,The Amazing Catfish 
4677,7.0,Colin Trevorrow,Safety Not Guaranteed 
2573,7.0,Josef Rusnak,The Thirteenth Floor 
969,7.0,Stephen Gaghan,Syriana 
2584,7.0,Danny Boyle,Trance 
2081,7.0,Jerry Zucker,Ghost 
235,7.0,Joseph Kosinski,Oblivion 
4520,7.0,Guy Maddin,Dracula: Pages from a Virgin's Diary 
4811,7.0,Roger Nygard,Trekkies 
3522,7.0,Jean-Marie Poiré,Les visiteurs 
2934,7.0,Terry Gilliam,Time Bandits 
1919,7.0,Craig Gillespie,Million Dollar Arm 
433,7.0,Guillermo del Toro,Hellboy II: The Golden Army 
3911,7.0,Wayne Kramer,The Cooler 
958,7.0,Jaume Collet-Serra,Non-Stop 
2704,7.0,Craig Brewer,Black Snake Moan 
4086,7.0,Patricia Cardoso,Real Women Have Curves 
336,7.0,Kenneth Branagh,Cinderella 
4539,7.0,Clive Barker,Hellraiser 
1325,7.0,Joon-ho Bong,Snowpiercer 
2093,7.0,Len Wiseman,Underworld 
1674,7.0,Carl Franklin,One True Thing 
2327,7.0,Angelo Pizzo,Courage 
2815,7.0,Neil Burger,The Lucky Ones 
4296,7.0,David Duchovny,House of D 
1155,7.0,Roger Michell,Notting Hill 
2189,7.0,Jaume Collet-Serra,Orphan 
1882,7.0,Matt Reeves,Cloverfield 
1156,7.0,Peter Lord,Chicken Run 
3229,7.0,Jake Scott,Welcome to the Rileys 
2349,7.0,Gnana Rajasekaran,Ramanujan 
46,7.0,Marc Forster,World War Z 
52,7.0,Guillermo del Toro,Pacific Rim 
1160,7.0,Joseph L. Mankiewicz,Cleopatra 
4221,7.0,George Sidney,Show Boat 
646,7.0,Rob Bowman,The X Files 
2169,7.0,Paul McGuigan,Wicker Park 
4656,7.0,Paul Andrew Williams,London to Brighton 
382,7.0,Tony Scott,Spy Game 
3104,7.0,Dennis Dugan,Happy Gilmore 
2375,7.0,Roger Donaldson,The Bounty 
4337,7.0,Richard Lester,A Funny Thing Happened on the Way to the Forum 
2084,7.0,John Lee Hancock,The Rookie 
3632,7.0,Michael Crichton,The Great Train Robbery 
4346,7.0,Rodrigo Cortés,Buried 
3100,7.0,Martin Scorsese,The Color of Money 
384,7.0,Carlos Saldanha,Rio 
724,7.0,F. Gary Gray,The Italian Job 
3253,7.0,Vic Sarin,Partition 
4239,7.0,Larry Clark,Bully 
2247,7.0,Richard Donner,Ladyhawke 
2799,7.0,Emilio Estevez,Bobby 
2241,7.0,,Yu-Gi-Oh! Duel Monsters             
4260,7.0,Alex Kendrick,Courageous 
1129,7.0,Yimou Zhang,Curse of the Golden Flower 
5033,7.0,Shane Carruth,Primer 
1543,7.0,Richard Donner,Scrooged 
2226,7.0,Edgar Wright,The World's End 
21,7.0,Marc Webb,The Amazing Spider-Man 
3163,7.0,Tim Burton,Big Eyes 
29,7.0,Colin Trevorrow,Jurassic World 
3994,7.0,Jack Smight,Harper 
3159,7.0,Jim Hanon,End of the Spear 
2299,7.0,Bob Fosse,Sweet Charity 
4272,7.0,Henry King,Alexander's Ragtime Band 
4277,7.0,David Ayer,Harsh Times 
3155,7.0,Simon Curtis,My Week with Marilyn 
720,7.0,Brenda Chapman,The Prince of Egypt 
1149,7.0,Louis Leterrier,Unleashed 
2316,7.0,J.C. Chandor,A Most Violent Year 
5013,7.0,Eric Eason,Manito 
2318,7.0,Marc Abraham,Flash of Genius 
2319,7.0,Todd Haynes,I'm Not There. 
2159,7.0,Penelope Spheeris,Wayne's World 
1602,7.0,Stephen Hillenburg,The SpongeBob SquarePants Movie 
80,7.0,Jon Favreau,Iron Man 2 
1653,7.0,Drew Goddard,The Cabin in the Woods 
4405,7.0,Larry Clark,Kids 
130,7.0,Kenneth Branagh,Thor 
82,7.0,Robert Stromberg,Maleficent 
3281,7.0,Terence Young,Thunderball 
3611,7.0,Ed Harris,Pollock 
3781,7.0,Michael Cuesta,Kill the Messenger 
3782,7.0,John Cameron Mitchell,Rabbit Hole 
752,7.0,Chris Butler,ParaNorman 
2448,7.0,Michael Hoffman,The Last Station 
1839,7.0,Andy Tennant,Ever After: A Cinderella Story 
1838,7.0,David Gordon Green,Pineapple Express 
1371,7.0,Ethan Coen,Burn After Reading 
3778,7.0,Jake Kasdan,Zero Effect 
1204,7.0,Nora Ephron,Julie & Julia 
905,7.0,Scott Cooper,Black Mass 
3291,7.0,Rod Lurie,The Contender 
3292,7.0,Ben Younger,Boiler Room 
1796,7.0,Judd Apatow,Knocked Up 
1054,7.0,Steven Soderbergh,Out of Sight 
4192,7.0,Alison Maclean,Jesus' Son 
3300,7.0,Burr Steers,Igby Goes Down 
4895,7.0,George Miller,Mad Max 
3308,7.0,Todd Haynes,Velvet Goldmine 
4018,7.0,Charles Ferguson,Time to Choose 
4926,7.0,Mike Cahill,Another Earth 
4631,7.0,Danny Boyle,Trance 
4929,7.0,Ken Roht,Perfect Cowboy 
611,7.0,Jean-Jacques Annaud,Seven Years in Tibet 
4962,7.0,Larry Blamire,The Lost Skeleton of Cadavra 
1177,7.0,Curtis Hanson,8 Mile 
4959,7.0,Robert Townsend,Hollywood Shuffle 
3631,7.0,Jonathan Levine,The Wackness 
4369,7.0,Ted Post,Hang 'Em High 
2403,7.0,Jay Roach,Austin Powers: International Man of Mystery 
4950,7.0,David Hewlett,A Dog's Breakfast 
4949,7.0,David Hewlett,A Dog's Breakfast 
2409,7.0,Mark Waters,Mean Girls 
4007,7.0,André Øvredal,Trollhunter 
320,7.0,Ron Howard,In the Heart of the Sea 
3763,7.0,Jay Levey,UHF 
3619,7.0,Mark Herman,Little Voice 
4938,7.0,Dena Seidel,Antarctic Edge: 70° South 
3764,7.0,Nicholaus Goossen,Grandma's Boy 
739,7.0,Christopher McQuarrie,Jack Reacher 
3189,7.0,Luca Guadagnino,I Am Love 
2792,6.9,Franco Zeffirelli,Tea with Mussolini 
390,6.9,John Milius,Conan the Barbarian 
334,6.9,Bibo Bergeron,The Road to El Dorado 
4676,6.9,Matt Maiellaro,Aqua Teen Hunger Force Colon Movie Film for Theaters 
322,6.9,Paul Greengrass,Green Zone 
380,6.9,Jon M. Chu,Now You See Me 2 
2738,6.9,Gregor Jordan,Buffalo Soldiers 
4660,6.9,Justin Molotnikov,Crying with Laughter 
2690,6.9,Drew Barrymore,Whip It 
3449,6.9,Claude Miller,Alias Betty 
2769,6.9,Jon Turteltaub,Cool Runnings 
3981,6.9,Jaume Collet-Serra,Unknown 
1345,6.9,Francis Lawrence,Water for Elephants 
2709,6.9,Oliver Parker,The Importance of Being Earnest 
2764,6.9,Garry Marshall,Pretty Woman 
3446,6.9,Russell Holt,The Work and the Glory 
3980,6.9,Nicholas Hytner,The History Boys 
2763,6.9,Adrian Lyne,Fatal Attraction 
3979,6.9,Dagur Kári,The Good Heart 
1321,6.9,Richard Shepard,The Hunting Party 
2105,6.9,Michael Bay,The Island 
1179,6.9,Brian Helgeland,A Knight's Tale 
1082,6.9,Phillip Noyce,Patriot Games 
3758,6.9,Brian Dannelly,Saved! 
3770,6.9,Ronan Chapalain,Sea Rex 3D: Journey to a Prehistoric World 
131,6.9,Byron Howard,Bolt 
141,6.9,J.J. Abrams,Mission: Impossible III 
2104,6.9,Kevin Smith,Jay and Silent Bob Strike Back 
929,6.9,Kevin Reynolds,Robin Hood: Prince of Thieves 
2450,6.9,Jason Reitman,Labor Day 
146,6.9,Rob Minkoff,Mr. Peabody & Sherman 
148,6.9,Eric Darnell,Madagascar 3: Europe's Most Wanted 
4903,6.9,Sherman Alexie,The Business of Fancydancing 
1041,6.9,Neill Blomkamp,Chappie 
3596,6.9,King Vidor,Duel in the Sun 
2392,6.9,Chuck Russell,The Mask 
73,6.9,David Ayer,Suicide Squad 
2166,6.9,D.J. Caruso,Disturbia 
3749,6.9,Christine Jeffs,Sunshine Cleaning 
64,6.9,Andrew Adamson,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
2334,6.9,Katsuhiro Ôtomo,Steamboy 
2193,6.9,John Milius,Conan the Barbarian 
3663,6.9,John Sayles,Sunshine State 
5005,6.9,Andrew Bujalski,Mutual Appreciation 
2324,6.9,Jean-Paul Rappeneau,Bon voyage 
2321,6.9,Rian Johnson,The Brothers Bloom 
5018,6.9,Alex Kendrick,Flywheel 
2218,6.9,John Madden,The Debt 
5026,6.9,Olivier Assayas,Clean 
3700,6.9,David F. Sandberg,Lights Out 
5035,6.9,Robert Rodriguez,El Mariachi 
10,6.9,Zack Snyder,Batman v Superman: Dawn of Justice 
2077,6.9,Teddy Chan,Bodyguards and Assassins 
3591,6.9,Rick Famuyiwa,The Wood 
171,6.9,Joe Johnston,Captain America: The First Avenger 
2604,6.9,Tony Scott,Top Gun 
1939,6.9,Bobby Farrelly,Kingpin 
1319,6.9,D.J. Caruso,Disturbia 
1945,6.9,Spike Lee,He Got Game 
300,6.9,Jon Turteltaub,National Treasure 
297,6.9,Gary Trousdale,The Hunchback of Notre Dame 
2636,6.9,James Mangold,Cop Land 
3489,6.9,Rob Zombie,The Devil's Rejects 
280,6.9,Michael Bay,The Island 
3938,6.9,David Gordon Green,Joe 
1975,6.9,Patricia Riggen,The 33 
3930,6.9,Dave McKean,Mirrormask 
3499,6.9,Gina Prince-Bythewood,Beyond the Lights 
4771,6.9,Fernando Baez Mella,The King of Najayo 
4791,6.9,Jared Hess,Napoleon Dynamite 
4802,6.9,Lucio Fulci,The Beyond 
4878,6.9,Jason Naumann,Jesus People 
4806,6.9,Stephen Frears,My Beautiful Laundrette 
3534,6.9,Richard E. Grant,Wah-Wah 
4823,6.9,Paul Fierlinger,My Dog Tulip 
1269,6.9,Stephen Daldry,Extremely Loud & Incredibly Close 
4829,6.9,Cédric Klapisch,When the Cat's Away 
2029,6.9,Bonnie Hunt,Return to Me 
3569,6.9,Zal Batmanglij,The East 
4853,6.9,Nicole Holofcener,Lovely & Amazing 
1245,6.9,Clint Eastwood,Jersey Boys 
2525,6.9,Joel Schumacher,Veronica Guerin 
3435,6.9,George Tillman Jr.,Soul Food 
4870,6.9,Lori Silverbush,On the Outs 
1232,6.9,Jaume Collet-Serra,Unknown 
